trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-06-15,000922,中证红利,8.4827,1.508,-0.4016,93.2,42.8,7.36,6.7381,4.8623,2.5457,79.34
2026-06-15,000985,中证全指,0.8054,1.0885,0.6785,92.96,78.56,15.44,-0.9392,0.4616,-0.6895,78.86
2026-06-15,399001,深证成指,1.986,0.4106,0.8758,96.72,78.88,28.8,0.2414,1.1383,-0.3626,81.42
2026-06-15,399006,创业板指,1.3327,3.5503,1.0551,100.0,83.76,39.12,-0.4119,0.7639,-0.9303,83.4
2026-06-16,000001,上证指数,1.2017,1.6719,0.2605,94.48,54.64,14.0,-0.5307,0.6937,-0.4611,80.64
2026-06-16,000300,沪深300,4.471,2.247,-0.8566,98.72,22.56,60.56,2.7386,2.5808,0.5086,60.58
2026-06-16,000688,科创50,0.5499,2.2991,0.155,96.56,68.64,26.96,-1.1825,0.3174,-1.2235,78.68
2026-06-16,000852,中证1000,2.0217,1.3486,0.1972,92.08,51.92,53.12,0.2893,1.167,-0.5104,57.7
2026-06-16,000905,中证500,2.8987,0.8728,1.7296,95.68,92.48,9.04,1.1663,1.6732,-0.1769,89.26
2026-06-16,000922,中证红利,8.6177,1.3676,-0.5601,89.28,28.16,9.36,6.8853,4.9744,2.6218,72.88
2026-06-16,000985,中证全指,0.8166,1.0465,0.6667,91.52,78.32,17.76,-0.9158,0.4714,-0.6712,77.1
2026-06-16,399001,深证成指,1.9957,0.4027,0.8449,96.48,78.16,32.16,0.2633,1.152,-0.3388,80.1
2026-06-16,399006,创业板指,1.3269,3.5668,1.0784,100.0,84.16,39.52,-0.4055,0.766,-0.917,83.34
2026-06-17,000001,上证指数,1.1942,1.694,0.1593,94.48,50.24,17.68,-0.5328,0.6915,-0.4439,78.66
2026-06-17,000300,沪深300,4.4789,2.2217,-0.8614,98.48,22.4,62.48,2.7519,2.5934,0.5209,59.84
2026-06-17,000688,科创50,0.5232,2.5036,0.1863,97.84,70.24,26.56,-1.2038,0.303,-1.2245,79.78
2026-06-17,000852,中证1000,2.0285,1.3258,0.1247,92.0,47.44,55.2,0.3015,1.1746,-0.4933,55.84
2026-06-17,000905,中证500,2.9062,0.862,1.6734,94.96,91.76,10.0,1.1792,1.6828,-0.1611,88.6
2026-06-17,000922,中证红利,8.6858,1.2978,-0.6656,88.4,20.48,10.32,6.9588,5.0294,2.6711,69.58
2026-06-17,000985,中证全指,0.8076,1.0773,0.5684,92.72,76.32,22.0,-0.9194,0.4676,-0.656,75.96
2026-06-17,399001,深证成指,2.0065,0.3942,0.8061,96.32,77.76,33.2,0.2795,1.1618,-0.3246,79.44
2026-06-17,399006,创业板指,1.322,3.5792,1.0716,100.0,84.0,39.84,-0.405,0.7655,-0.9094,83.2
2026-06-18,000001,上证指数,1.2098,1.638,0.0573,94.24,46.32,22.24,-0.5201,0.6993,-0.4315,76.1
2026-06-18,000300,沪深300,4.5913,1.9482,-1.0586,96.64,16.48,71.84,2.8614,2.6541,0.5666,54.54
2026-06-18,000688,科创50,0.5122,2.5885,0.1788,98.32,69.92,26.8,-1.2177,0.2961,-1.2227,80.12
2026-06-18,000852,中证1000,2.0454,1.2683,0.0436,92.0,44.56,58.8,0.3155,1.1824,-0.4833,53.66
2026-06-18,000905,中证500,2.9602,0.7869,1.5209,92.24,89.2,12.48,1.2303,1.7112,-0.1381,86.06
2026-06-18,000922,中证红利,8.908,1.0812,-0.8907,84.32,12.56,13.12,7.1781,5.1494,2.762,64.9
2026-06-18,000985,中证全指,0.8161,1.0451,0.4764,91.44,74.32,29.36,-0.9138,0.4717,-0.6466,73.16
2026-06-18,399001,深证成指,2.03,0.3765,0.6986,95.36,75.28,36.64,0.3001,1.1735,-0.3107,77.6
2026-06-18,399006,创业板指,1.3089,3.6371,1.1003,100.0,84.72,40.08,-0.421,0.7566,-0.9114,83.5
2026-06-22,000001,上证指数,1.198,1.6741,0.1356,94.4,49.44,20.88,-0.5395,0.6895,-0.4451,77.76
2026-06-22,000300,沪深300,4.4782,2.2125,-0.874,98.48,21.76,62.96,2.7407,2.5774,0.5138,59.74
2026-06-22,000688,科创50,0.5044,2.6483,0.2544,98.56,73.52,26.48,-1.2331,0.2903,-1.2344,81.48
2026-06-22,000852,中证1000,2.0345,1.3092,0.1034,92.08,46.64,57.84,0.297,1.1709,-0.4945,55.08
2026-06-22,000905,中证500,2.9192,0.8433,1.6829,94.4,91.84,10.96,1.1817,1.6801,-0.161,88.22
2026-06-22,000922,中证红利,8.846,1.1392,-0.8105,85.12,14.48,12.4,7.1085,5.0912,2.7283,66.08
2026-06-22,000985,中证全指,0.8076,1.0738,0.5493,92.56,75.92,25.36,-0.9299,0.4648,-0.6608,75.42
2026-06-22,399001,深证成指,1.9804,0.4128,0.8522,96.72,78.4,32.64,0.2429,1.1398,-0.3393,80.4
2026-06-22,399006,创业板指,1.2696,3.8513,1.2076,100.0,86.88,35.6,-0.4679,0.7307,-0.9329,85.34
2026-06-23,000001,上证指数,1.2176,1.6055,0.1441,94.08,49.6,21.12,-0.5261,0.6983,-0.4502,77.32
2026-06-23,000300,沪深300,4.538,2.063,-0.9784,97.04,19.36,69.84,2.7943,2.6025,0.539,56.44
2026-06-23,000688,科创50,0.4847,2.8201,0.1845,99.68,70.24,26.96,-1.259,0.278,-1.234,81.16
2026-06-23,000852,中证1000,2.0518,1.2502,0.0534,92.0,44.8,59.84,0.3081,1.1767,-0.4941,53.76
2026-06-23,000905,中证500,2.9626,0.7832,1.548,92.0,89.84,12.56,1.2189,1.6991,-0.149,86.3
2026-06-23,000922,中证红利,8.8555,1.1292,-0.7968,84.96,14.96,12.56,7.1118,5.0786,2.7344,66.12
2026-06-23,000985,中证全指,0.8239,1.0144,0.5614,90.64,76.24,25.28,-0.9198,0.4725,-0.6671,74.66
2026-06-23,399001,深证成指,2.0196,0.3831,0.7168,95.6,76.08,36.4,0.2759,1.1583,-0.3254,78.16
2026-06-23,399006,创业板指,1.3183,3.5495,1.0765,99.84,83.92,40.64,-0.4254,0.756,-0.9227,83.16
2026-06-24,000001,上证指数,1.2033,1.6498,-0.0665,94.16,39.52,26.48,-0.5421,0.6894,-0.4312,73.88
2026-06-24,000300,沪深300,4.5677,1.9882,-1.1219,96.8,13.92,74.32,2.8223,2.617,0.5689,53.6
2026-06-24,000688,科创50,0.4727,2.9264,0.1866,100.0,70.32,26.96,-1.2727,0.2708,-1.2353,81.52
2026-06-24,000852,中证1000,2.0541,1.2441,-0.069,91.92,40.48,63.2,0.3087,1.1768,-0.4794,51.8
2026-06-24,000905,中证500,2.9711,0.7716,1.4408,91.28,87.92,15.68,1.2257,1.7022,-0.1342,84.78
2026-06-24,000922,中证红利,8.9835,1.0076,-1.0019,82.96,11.12,15.2,7.2381,5.147,2.8081,63.24
2026-06-24,000985,中证全指,0.8055,1.0782,0.3741,92.88,69.84,35.12,-0.9399,0.4615,-0.6514,71.9
2026-06-24,399001,深证成指,1.9947,0.4011,0.641,96.4,73.6,39.68,0.2493,1.1428,-0.3162,77.28
2026-06-24,399006,创业板指,1.294,3.6742,1.0908,99.92,84.4,41.44,-0.4514,0.7414,-0.9202,83.24
2026-06-25,000001,上证指数,1.2206,1.5892,-0.1948,93.92,34.56,32.64,-0.5145,0.7035,-0.4039,70.24
2026-06-25,000300,沪深300,4.5704,1.9774,-1.1323,96.72,13.28,74.56,2.8353,2.6341,0.5827,53.28
2026-06-25,000688,科创50,0.4631,3.0128,0.2216,100.0,72.16,26.16,-1.272,0.2669,-1.2342,82.16
2026-06-25,000852,中证1000,2.0865,1.1335,-0.1672,91.52,38.64,65.28,0.3514,1.2025,-0.4518,49.34
2026-06-25,000905,中证500,2.9811,0.7579,1.4033,90.96,86.96,18.56,1.246,1.7181,-0.1139,83.4
2026-06-25,000922,中证红利,9.0606,0.9359,-1.0986,80.48,9.28,16.96,7.3255,5.2219,2.8654,61.08
2026-06-25,000985,中证全指,0.8164,1.0376,0.2294,91.2,59.84,43.44,-0.9187,0.4705,-0.6254,66.1
2026-06-25,399001,深证成指,1.9984,0.3978,0.607,96.24,72.24,40.72,0.2633,1.1517,-0.3023,76.5
